Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-07-31T23:44:24,2021-07-31T23:48:31,017,Varsapuistikko,022,Rautatientori / länsi,682,242
2021-07-31T23:44:14,2021-08-01T00:04:38,149,Toinen linja,116,Linnanmäki,1907,1220
2021-07-31T23:44:10,2021-07-31T23:54:02,094,Laajalahden aukio,101,Munkkivuoren ostoskeskus,1423,587
2021-07-31T23:44:02,2021-08-01T00:12:27,024,Mannerheimintie,138,Arabiankatu,6784,1704
2021-07-31T23:44:02,2021-07-31T23:57:30,045,Brahen kenttä,078,Messeniuksenkatu,2295,804
2021-07-31T23:43:55,2021-08-01T00:04:18,146,Pohjolanaukio,121,Vilhonvuorenkatu,4657,1221
2021-07-31T23:43:50,2021-07-31T23:51:03,344,Puistolan asema,347,Sateenkaarentie,1711,429
2021-07-31T23:43:41,2021-08-01T00:04:22,016,Liisanpuistikko,088,Kiskontie,5276,1237
2021-07-31T23:43:20,2021-07-31T23:55:31,008,Vanha kirkkopuisto,048,Mastokatu,1813,724
2021-07-31T23:43:19,2021-07-31T23:46:33,133,Paavalinpuisto,128,Päijänteentie,628,189
2021-07-31T23:43:15,2021-08-01T00:00:26,054,Gyldenintie,023,Kiasma,4008,1026
2021-07-31T23:43:13,2021-08-01T00:07:30,069,Kalevankatu,009,Erottajan aukio,3834,1452
2021-07-31T23:43:08,2021-08-01T00:04:40,150,Töölönlahden puisto,113,Pasilan asema,3528,1290
2021-07-31T23:43:01,2021-08-01T00:02:22,113,Pasilan asema,212,Tunnelitie,3532,1157
2021-07-31T23:42:45,2021-07-31T23:55:31,008,Vanha kirkkopuisto,048,Mastokatu,1717,760
2021-07-31T23:42:41,2021-07-31T23:43:04,583,Haukilahdensolmu,583,Haukilahdensolmu,0,19
2021-07-31T23:42:33,2021-07-31T23:43:31,344,Puistolan asema,344,Puistolan asema,12,54
2021-07-31T23:42:32,2021-07-31T23:42:41,150,Töölönlahden puisto,150,Töölönlahden puisto,0,8
2021-07-31T23:42:32,2021-08-01T00:08:12,069,Kalevankatu,404,Sompasaari,4694,1536
2021-07-31T23:42:22,2021-08-01T00:06:26,150,Töölönlahden puisto,113,Pasilan asema,3355,1438
2021-07-31T23:42:21,2021-07-31T23:53:29,059,Salmisaarenranta,071,Hietaniemenkatu,2356,663
2021-07-31T23:42:08,2021-08-01T00:07:28,150,Töölönlahden puisto,005,Sepänkatu,4277,1520
2021-07-31T23:42:02,2021-07-31T23:48:08,040,Hakaniemi (M),022,Rautatientori / länsi,1366,361
2021-07-31T23:41:57,2021-07-31T23:52:12,573,Urheilupuisto (M),649,Lystimäensilta,1772,610
2021-07-31T23:41:47,2021-07-31T23:46:58,402,Bermudankuja,062,Välimerenkatu,667,309
2021-07-31T23:41:47,2021-07-31T23:57:35,386,Kannelmäen liikuntapuisto,222,Huovitie,3081,944
2021-07-31T23:41:38,2021-07-31T23:41:51,150,Töölönlahden puisto,150,Töölönlahden puisto,0,12
2021-07-31T23:41:38,2021-07-31T23:51:47,260,Herttoniemi (M),264,Eränkävijäntori,1278,605
2021-07-31T23:41:37,2021-07-31T23:49:25,086,Kuusitie,211,Haagan tori,1968,464
2021-07-31T23:41:31,2021-07-31T23:50:26,012,Kanavaranta,008,Vanha kirkkopuisto,1217,532
2021-07-31T23:41:28,2021-08-01T00:18:48,280,Puotilan ostoskeskus,138,Arabiankatu,10540,2237
2021-07-31T23:41:09,2021-07-31T23:41:38,150,Töölönlahden puisto,150,Töölönlahden puisto,0,25
2021-07-31T23:40:58,2021-07-31T23:51:47,045,Brahen kenttä,042,Haapaniemenkatu,1096,644
2021-07-31T23:40:52,2021-07-31T23:51:22,012,Kanavaranta,025,Narinkka,1631,626
2021-07-31T23:40:49,2021-07-31T23:44:39,367,Karhusuontie,368,Pukinmäen liikuntapuisto,577,226
2021-07-31T23:40:47,2021-08-01T00:00:54,571,Tapiolan urheilupuisto,631,Friisilänaukio,4310,1202
2021-07-31T23:40:43,2021-07-31T23:55:34,262,Siilitie (M),240,Viikin normaalikoulu,3257,890
2021-07-31T23:40:42,2021-07-31T23:59:09,393,Malminkartanon asema,392,Viljelijäntie,789,1105
2021-07-31T23:40:42,2021-07-31T23:52:38,276,Puotinharju,270,Tulisuontie,2064,712
2021-07-31T23:40:41,2021-07-31T23:54:06,113,Pasilan asema,133,Paavalinpuisto,1954,801
2021-07-31T23:40:39,2021-07-31T23:45:10,076,Olympiastadion,039,Ooppera,420,267
2021-07-31T23:40:27,2021-07-31T23:50:58,012,Kanavaranta,008,Vanha kirkkopuisto,1233,628
2021-07-31T23:40:26,2021-07-31T23:53:04,353,Helluntairaitti,339,Alppikylä,2164,753
2021-07-31T23:40:23,2021-07-31T23:56:20,129,Pernajantie,086,Kuusitie,3827,955
2021-07-31T23:40:08,2021-07-31T23:47:53,308,Mosaiikkitori,317,Haapasaarentie,1681,464
2021-07-31T23:40:02,2021-07-31T23:55:23,001,Kaivopuisto,023,Kiasma,2082,916
2021-07-31T23:39:55,2021-07-31T23:43:28,360,Malmin asema,361,Huhtakuja,708,208
2021-07-31T23:39:51,2021-08-01T00:00:29,127,Teurastamo,019,Rautatientori / itä,3455,1232
2021-07-31T23:39:48,2021-07-31T23:56:48,122,Lintulahdenkatu,004,Viiskulma,3698,1016
2021-07-31T23:39:47,2021-07-31T23:51:01,012,Kanavaranta,008,Vanha kirkkopuisto,1225,672
2021-07-31T23:39:43,2021-07-31T23:52:52,369,Pukinmäen asema,237,Aulangontie,2044,784
2021-07-31T23:39:38,2021-07-31T23:53:32,353,Helluntairaitti,339,Alppikylä,2070,829
2021-07-31T23:39:37,2021-07-31T23:46:47,101,Munkkivuoren ostoskeskus,101,Munkkivuoren ostoskeskus,1335,426
2021-07-31T23:39:36,2021-07-31T23:54:35,012,Kanavaranta,008,Vanha kirkkopuisto,1265,897
2021-07-31T23:39:33,2021-07-31T23:50:08,259,Petter Wetterin tie,270,Tulisuontie,2272,631
2021-07-31T23:39:32,2021-07-31T23:50:09,012,Kanavaranta,008,Vanha kirkkopuisto,1272,640
2021-07-31T23:39:16,2021-07-31T23:51:01,012,Kanavaranta,008,Vanha kirkkopuisto,1255,701
2021-07-31T23:39:15,2021-07-31T23:39:46,129,Pernajantie,129,Pernajantie,12,26
2021-07-31T23:39:11,2021-07-31T23:51:34,012,Kanavaranta,008,Vanha kirkkopuisto,1251,739
2021-07-31T23:39:11,2021-07-31T23:53:48,278,Puotilantie,319,Purjetie,2983,872
2021-07-31T23:38:53,2021-08-01T00:02:06,260,Herttoniemi (M),248,Gunillantie,3957,1389
2021-07-31T23:38:49,2021-07-31T23:42:22,123,Näkinsilta,041,Ympyrätalo,475,209
2021-07-31T23:38:37,2021-07-31T23:59:26,111,Esterinportti,228,Kustaankartano,4447,1244
2021-07-31T23:38:21,2021-07-31T23:50:37,084,Paciuksenkatu,100,Teljäntie,3018,724
2021-07-31T23:38:03,2021-07-31T23:38:26,260,Herttoniemi (M),260,Herttoniemi (M),0,18
2021-07-31T23:37:56,2021-07-31T23:54:23,374,Etupellonpuisto,358,Syystie,3671,982
2021-07-31T23:37:44,2021-07-31T23:44:37,555,Kalevalantie,519,Tapionaukio,1143,409
2021-07-31T23:37:40,2021-07-31T23:41:59,162,Leppäsuonaukio,069,Kalevankatu,612,254
2021-07-31T23:37:27,2021-08-01T00:06:55,208,Valimotie,103,Vihdintie,2581,1764
2021-07-31T23:37:23,2021-07-31T23:43:51,133,Paavalinpuisto,136,Sofianlehdonkatu,1184,384
2021-07-31T23:37:15,2021-07-31T23:51:07,545,Sähkömies,518,Tuulimäki,2630,829
2021-07-31T23:37:14,2021-08-01T00:01:30,120,Mäkelänkatu,078,Messeniuksenkatu,3180,838
2021-07-31T23:37:13,2021-07-31T23:44:35,127,Teurastamo,134,Haukilahdenkatu,1204,436
2021-07-31T23:37:12,2021-07-31T23:44:52,002,Laivasillankatu,012,Kanavaranta,1225,457
2021-07-31T23:37:07,2021-07-31T23:44:26,002,Laivasillankatu,012,Kanavaranta,1188,434
2021-07-31T23:36:59,2021-07-31T23:44:16,555,Kalevalantie,519,Tapionaukio,1221,435
2021-07-31T23:36:47,2021-08-01T11:04:51,573,Urheilupuisto (M),575,Tontunmäentie,604,41278
2021-07-31T23:36:43,2021-07-31T23:40:05,213,Huopalahden asema,211,Haagan tori,851,197
2021-07-31T23:36:40,2021-07-31T23:45:17,016,Liisanpuistikko,040,Hakaniemi (M),1070,512
2021-07-31T23:36:32,2021-07-31T23:41:26,517,Länsituuli,515,Oravannahkatori,690,290
2021-07-31T23:36:31,2021-07-31T23:39:01,259,Petter Wetterin tie,256,Herttoniemenranta,598,150
2021-07-31T23:36:27,2021-07-31T23:46:25,579,Niittymaa,557,Louhentori,2387,596
